distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_277,simulation_1,128,1.1793034276907852,75,91491,371900,0.42466362750950026,3,34,1,31,2,360,nv_granite_tile.jpg,nv_artificialgrass_green.jpg,nv_tile_hexagonal_various.jpg,0.35261484618445954,additional,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,nv_wood_shingles_brown.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_brick_red_stacked.jpg,,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,3.7549719068161975,94,0.7170293395403764,4,1.060121846004963
dist_278,simulation_1,128,1.3983390220135905,78,83028,484089,0.043350228820577,0,34,5,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_tile_square_green.jpg,0.5188661275151658,warehouse,,nv_brick_reclaimed.jpg,nv_tile_hexagonal_various.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_wooden_wall.jpg,,,1,nv_brick_red_stacked.jpg,3.4650813017791315,93,0.7059518379768303,4,0.927967482373153
dist_279,simulation_1,128,0.6215839637860281,50,124441,435982,0.40480011205084593,3,34,5,31,2,360,nv_marble.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.9681855545570683,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_rubber_woven_charcoal.jpg,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,,,1,nv_plastic_blue.jpg,1.3803999423980713,100,0.8585174984245543,4,1.9252512251934855
dist_280,simulation_1,128,1.3510679890433512,63,99642,392665,0.04013684629200847,1,34,3,31,2,360,nv_granite_tile.jpg,nv_wooden_wall.jpg,nv_fireplace_wall.jpg,0.9195584499541594,warehouse,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,nv_brick_red_stacked.jpg,,,1,nv_gravel_grey_leaves.jpg,5.0,79,0.2557024391378042,2,2.0
dist_281,simulation_1,128,0.6925006137698161,66,100929,419288,0.044816500881109986,0,34,4,31,2,360,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,nv_carpet_abstract_pattern.jpg,0.6997133717947751,warehouse,,nv_tile_square_green.jpg,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,nv_plastic_blue.jpg,nv_gravel_grey_leaves.jpg,,,1,nv_brick_red_stacked.jpg,3.058758340648078,77,0.7109869486639728,4,1.1377077218666942
dist_282,simulation_1,128,0.36519559053593514,81,100872,232447,0.09404874940236618,0,34,3,31,2,360,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,nv_brick_reclaimed.jpg,0.8958395213810649,additional,,nv_stone_red_hatch.jpg,nv_tile_hexagonal_various.jpg,nv_stucco_red_painted.jpg,nv_asphalt_yellow_weathered.jpg,nv_brick_red_stacked.jpg,,,1,nv_wood_siding_weathered_green.jpg,4.988496938285097,100,0.7645425242272743,6,2.0
dist_283,simulation_1,128,1.5711128158137497,74,94528,408999,0.18542665124446944,0,34,4,31,2,360,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,nv_bamboo_desktop.jpg,0.8439635618135694,warehouse,,nv_tile_square_green.jpg,nv_tile_hexagonal_various.jpg,nv_stucco_smooth_blue.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,,nv_brick_reclaimed.jpg,1,nv_brick_red_stacked.jpg,3.0419392361677478,77,1.0,5,1.9022927595181516
dist_284,simulation_1,128,0.7466767937075487,63,98011,520551,0.15326575635367845,1,34,3,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_bamboo_desktop.jpg,0.6415844879877104,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,,nv_plastic_blue.jpg,1,nv_brick_red_stacked.jpg,1.6273419484569238,79,0.7820184693040179,5,1.6563058145042413
dist_285,simulation_1,128,1.704449464456017,68,90616,531713,0.12052181993751757,2,34,5,31,2,360,nv_marble.jpg,nv_wooden_wall.jpg,nv_fireplace_wall.jpg,0.9393709198035906,warehouse,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,nv_brick_reclaimed.jpg,,,1,nv_wood_siding_weathered_green.jpg,5.0,74,0.37178950672348554,3,1.7869725248885362
dist_286,simulation_1,128,0.5651850151893196,68,140718,235847,0.26475077343478703,1,34,2,31,2,360,nv_concrete_aged_with_lines.jpg,nv_marble.jpg,nv_bamboo_desktop.jpg,0.4201325492174036,warehouse,,nv_stone_red_hatch.jpg,nv_wood_shingles_brown.jpg,nv_stone_painted_grey.jpg,nv_brick_red_stacked.jpg,nv_wood_siding_weathered_green.jpg,,nv_brick_reclaimed.jpg,1,nv_brick_red_stacked.jpg,3.9089627303743764,77,0.7237128679776583,4,1.875571941920597
dist_287,simulation_1,128,0.6213059987260213,65,141504,386122,0.06584194775073368,2,34,3,31,2,360,nv_concrete_aged_with_lines.jpg,nv_artificialgrass_green.jpg,nv_tile_square_green.jpg,0.25234279756393563,warehouse,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_stucco_smooth_blue.jpg,nv_stucco_red_painted.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,4.3644012799030305,86,0.609705456635496,5,0.4548849149555584
dist_288,simulation_1,128,0.39106542990805476,84,95224,207937,0.06665555525983939,1,34,4,31,2,360,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,nv_tile_square_green.jpg,0.5320487102206377,additional,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_wood_shingles_brown.jpg,,nv_wood_siding_weathered_green.jpg,nv_brick_red_stacked.jpg,,,1,,3.810435190149131,100,0.8019619286880085,6,1.2123216928826732
