label,display_name,group_type,image_count,centroid_l2_to_real,centroid_cosine_to_real,pca_centroid_l2_to_real,mmd_rbf_to_real,syn_to_real_nn_mean,syn_to_real_nn_median,real_to_syn_nn_mean,source_objective_value,source_manifest_rank,project_name,category,cycle_index,timestamp,selection_kind,trial_id,run_id,iteration_index,cache_path
run_02,run_02 1st_rounds_best ,selected,64,10.534134864807129,0.1624859333260391,5.886195659637451,0.37433107340647737,18.816370631170983,16.897215570849927,17.893579111791045,,,,1st_rounds_best,,,,trial_0,iter000_run027,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter000_run027__d42c6f8e4b47c0bb_dinov2_vitb14_reg.npy
run_46,run_46 top_30 ,selected,128,10.59656810760498,0.16460753453844967,5.052533149719238,0.37630708183389344,18.90650188842758,17.162378607466348,17.63372504801039,,,,top_30,,,,trial_0,iter058_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter058_run003__eadd4c3b911b__21862c0009650f20_dinov2_vitb14_reg.npy
run_67,run_67 workspace_noise_materials_objects_r01 ,selected,64,10.762386322021484,0.16860194850963428,6.204740524291992,0.3804041227894378,20.501753669291475,18.191082726973534,18.492970093355414,,,,workspace_noise_materials_objects_r01,,,,trial_90,iter017_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_materials_objects_r01/trial_90/cache/iter017_run000__a86ec06f4769_dinov2_vitb14_reg.npy
run_19,run_19 top_30 ,selected,128,10.802237510681152,0.17063247649033764,6.0364909172058105,0.3763711125910785,19.589987569038467,17.94234845742367,17.636377883845274,,,,top_30,,,,trial_0,iter020_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter020_run001__e3ca7a44878e_dinov2_vitb14_reg.npy
run_13,run_13 top_30 ,selected,128,10.840272903442383,0.17280167268484004,5.9960761070251465,0.3798858250787092,19.29802196356721,18.404494580802265,17.633498055892836,,,,top_30,,,,trial_0,iter014_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter014_run003__4705363517ce_dinov2_vitb14_reg.npy
run_05,run_05 1st_rounds_best ,selected,64,10.853315353393555,0.1731772168146718,6.45068359375,0.3882425607673846,18.515795838934952,16.362674924529628,17.718708747370687,,,,1st_rounds_best,,,,trial_0,iter005_run002,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter005_run002__03bd33e36bcfaf51_dinov2_vitb14_reg.npy
run_25,run_25 top_30 ,selected,128,10.916248321533203,0.17487124597970005,6.293383598327637,0.3792969086296678,19.4072820916382,18.717477057623476,17.525397401398468,,,,top_30,,,,trial_0,iter023_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter023_run003__5647bf934da0_dinov2_vitb14_reg.npy
run_59,run_59 workspace_camera_r01 ,selected,64,10.921536445617676,0.17572673819137985,5.218606948852539,0.39439399472238007,19.0948395381535,17.40976770162271,17.56641441164592,,,,workspace_camera_r01,,,,trial_132,iter025_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_camera_r01/trial_132/cache/iter025_run003__c9e63188339f_dinov2_vitb14_reg.npy
run_72,run_72 workspace_noise_materials_objects_r02 ,selected,64,10.942957878112793,0.1720952985488735,7.155510902404785,0.37946273472187414,20.144531680028706,19.64691689103687,17.86958619952599,,,,workspace_noise_materials_objects_r02,,,,trial_83,iter014_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_materials_objects_r02/trial_83/cache/iter014_run000__5b300d2f8c10_dinov2_vitb14_reg.npy
run_09,run_09 1st_rounds_best ,selected,64,10.959016799926758,0.17608530062100902,7.066562175750732,0.3866190674433807,19.901147162861932,19.101045549797483,17.795686110528028,,,,1st_rounds_best,,,,trial_0,iter009_run006,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter009_run006__fe02f75908c38eba_dinov2_vitb14_reg.npy
