distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_instances,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_mean_std_synth_distractor_scale_mean,metadata.synth_metadata_mean_std_synth_distractor_scale_std,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_image_color_gain_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_palletjack_color_randomized,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_texture_2
dist_30,simulation_1,128,-1,2,2.347441330484924,6.779791577676071,0,6,-13,4.418665413748337,pinhole,180,57.82974028339255,0.5661902292037763,1,33,3,jpeg,-1,22,1,9.634241383176137,0.009264046009205718,3,51,4,5,43,3,1,8,2,4,42,3,2,23,3,1,14,2,2,26,1,2,14,2,1.25,0.144337996840477,warehouse,full_warehouse,0,44,9.978119762921631,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,127906,367346,0.2234767706658923,0.23649800836627594,105,259.24594807393095,1,0.2886750102043152,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg
dist_31,simulation_1,128,-1,2,4.892274451456456,2.549800180420856,0,1,-5,1.0712679723260017,pinhole,180,24.44693231213779,1.2158609549972703,1,33,9,gaussian_jpeg,-1,19,0,2.494635061752328,0.05306440774763943,2,74,3,5,99,3,1,3,2,3,107,2,4,52,4,1,5,3,3,6,4,2,11,2,1.25,0.144337996840477,warehouse,warehouse,0,58,6.791439502626068,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,152194,173285,0.24877463015166107,0.25422907538881734,493,151.7536871730674,1,0.2886750102043152,nv_concrete_aged_with_lines.jpg,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg
dist_32,simulation_1,128,-1,2,4.555445345846893,4.2646533055471565,0,4,-16,2.134036298789695,pinhole,180,68.80844082820524,2.3802520109954983,1,34,8,shot_jpeg,-1,59,2,4.010926689803529,1.5418244074916438,2,11,4,3,83,4,1,3,2,6,145,5,3,75,3,1,14,1,3,18,1,2,12,2,1.25,0.144337996840477,warehouse,warehouse,0,89,8.944369560957234,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,81188,306419,0.27742330959485956,0.28610163162512464,472,11.381540306573102,1,0.2886750102043152,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg
dist_33,simulation_1,128,-1,2,5.474543512700469,4.822519087252555,0,6,-3,3.6951791290938276,pinhole,180,97.65939302058834,0.10634705425193569,1,27,10,gaussian,-1,57,2,10.484125370236065,1.9681669383985902,5,53,3,4,30,2,1,4,2,3,55,2,2,4,5,1,6,3,1,38,4,2,3,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,84,4.169237622644527,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,218367,158211,0.5299561323562051,0.21556502048120105,304,148.0004278893444,1,0.2886750102043152,nv_marble.jpg,nv_granite_tile.jpg,nv_wooden_wall.jpg
dist_34,simulation_1,128,-1,2,6.282692342383142,8.95216990436596,0,8,-8,3.305144223654836,fisheyePolynomial,180,50.40540911616983,1.2987689188016311,1,26,3,shot_jpeg,-1,57,2,9.89617159110179,0.6956184158043861,4,72,3,5,96,5,1,9,2,6,128,6,4,86,4,2,3,3,3,2,4,2,4,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,100,6.552274136325853,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,36181,190047,0.41592442992749845,0.2847490356785639,316,74.9988352351463,1,0.2886750102043152,nv_plastic_blue.jpg,,nv_concrete_aged_with_lines.jpg
dist_35,simulation_1,128,-1,2,1.7204759139037875,2.5681390848779446,0,3,-12,4.622444506846759,pinhole,180,40.99453329675826,4.985622500788556,0,26,4,jpeg,-1,72,1,11.410362747004925,0.30211578356180047,3,119,3,4,49,3,1,10,2,4,162,2,2,5,4,1,13,2,3,8,4,2,16,2,1.25,0.144337996840477,warehouse,full_warehouse,0,47,3.2276832564387634,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,205357,379574,0.47878806194349227,0.18048168068837694,58,36.13802613776034,1,0.2886750102043152,nv_wood_siding_weathered_green.jpg,nv_granite_tile.jpg,nv_wooden_wall.jpg
dist_36,simulation_1,128,-1,2,5.042078362759897,6.6533300364957215,0,0,-15,3.1062698603082683,fisheyePolynomial,180,18.154295335179825,0.3928924857751037,0,20,7,gaussian,-1,70,2,0.37903373790770445,1.8724244924873796,2,69,4,5,86,6,1,4,2,6,16,6,4,103,3,2,8,3,1,3,1,2,5,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,51,8.527889549997354,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,156861,311463,0.39437725077374025,0.23007943791781993,114,287.6168330838913,1,0.2886750102043152,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg
dist_37,simulation_1,128,-1,2,2.6322447449470463,7.1345460710391775,0,6,-6,0.7894061107635588,fisheyePolynomial,180,32.069895342672986,1.1877166246193882,1,21,9,shot,-1,47,2,1.9622864710202732,0.7821630733035214,5,34,4,3,94,2,1,10,2,4,44,1,2,66,3,2,7,1,2,29,1,2,5,2,1.25,0.144337996840477,warehouse,full_warehouse,0,101,8.639691070650372,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,143291,524256,0.272044428333465,0.10335482613187247,135,16.479556195484882,1,0.2886750102043152,nv_marble.jpg,,nv_wooden_wall.jpg
dist_38,simulation_1,128,-1,2,2.0601135289712404,7.511776129734055,0,4,-3,1.0628987366843154,fisheyePolynomial,180,104.7383508500322,3.4162401414482293,0,29,9,shot,-1,35,2,4.726372867849902,1.3024659540829842,2,83,5,2,118,4,1,9,2,5,103,5,5,52,3,2,13,3,3,18,4,2,4,2,1.25,0.144337996840477,warehouse,warehouse,0,67,7.868270446829035,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,106883,282999,0.2831404509100569,0.15788832030631833,113,21.129843569162148,1,0.2886750102043152,nv_brick_reclaimed.jpg,nv_granite_tile.jpg,nv_tile_hexagonal_green_white.jpg
dist_39,simulation_1,128,-1,2,6.178736532910187,5.0723324848553,0,1,-12,1.5406594063230477,fisheyePolynomial,180,91.28746029410303,2.695806383376272,0,28,8,gaussian_jpeg,-1,33,2,8.508555140669191,0.21375384618948767,4,33,5,3,97,4,1,1,2,5,172,4,5,111,2,1,10,2,3,37,2,2,6,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,88,3.668747196842677,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,150414,284766,0.4053129703363365,0.11506036502792277,369,249.06806747998672,1,0.2886750102043152,nv_marble.jpg,nv_tile_square_green.jpg,nv_marble.jpg
dist_40,simulation_1,128,-1,2,3.184520670498131,4.122588730676902,0,3,-21,3.114358745449622,fisheyePolynomial,180,37.20264778149114,2.700059573022553,1,29,7,shot_jpeg,-1,64,2,5.582467347404618,0.12028468520157043,4,120,2,4,25,4,1,1,2,4,137,3,4,100,5,1,6,1,3,38,3,2,17,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,47,8.782473411767699,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,179675,432528,0.21265613648719797,0.1432553115240051,131,103.96242798309915,1,0.2886750102043152,nv_marble.jpg,nv_asphalt_yellow_weathered.jpg,nv_marble.jpg
dist_41,simulation_1,128,-1,2,6.380489984795081,7.271387822064094,0,9,-20,5.172086893635735,pinhole,180,72.59402908634286,3.8240490045149773,0,27,6,gaussian,-1,97,2,11.58986593383864,0.864995756660264,3,64,3,2,78,3,1,7,2,5,29,1,5,59,2,2,1,3,3,10,1,2,4,2,1.25,0.144337996840477,warehouse,warehouse_multiple_shelves,0,76,9.976877976970837,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,185585,378751,0.3071887729936671,0.21019146933206076,264,122.99968065850459,1,0.2886750102043152,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,nv_brick_reclaimed.jpg
dist_42,simulation_1,128,-1,2,5.737349709134935,3.1454276999738067,0,5,-19,1.9480555613403598,pinhole,180,50.70938708884809,1.9723813928501766,0,32,10,jpeg,-1,39,3,0.46111618754789996,1.803523984270847,3,81,4,5,77,5,1,1,2,4,28,5,4,86,2,1,11,1,1,1,4,2,16,2,1.25,0.144337996840477,warehouse,warehouse_with_forklifts,0,87,4.2963689750722756,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,67210,81577,0.43110596077926694,0.2395054726676858,132,6.046289565870385,1,0.2886750102043152,nv_brick_red_stacked.jpg,nv_granite_tile.jpg,nv_granite_tile.jpg
dist_43,simulation_1,128,-1,2,3.7171767399669027,5.739477975140343,0,6,-2,1.4441562709950297,fisheyePolynomial,180,99.2578655198806,3.2290540632760303,0,32,9,gaussian,-1,87,2,9.317369357996697,1.312323675362143,2,69,5,5,7,2,1,2,2,5,148,2,4,106,4,2,9,2,1,23,3,2,18,2,1.25,0.144337996840477,warehouse,full_warehouse,0,38,4.726752051651362,0,1,0,1,0,1,0,97.5,1.4433759450912476,1,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,169396,595291,0.23471233872247912,0.1637818293891173,400,58.900015469195104,1,0.2886750102043152,nv_brick_reclaimed.jpg,nv_concrete_aged_with_lines.jpg,nv_tile_hexagonal_green_white.jpg
