path,stem,num_pt,num_preds,mean_pt_iou,pt_recall_50,per_box_ious
/dataset/subset-3/2019-12-17_10/Cam3/1576595413.7409143.jpg,1576595413.7409143,3,42,0.0,0.0,"[0.0, 0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam2/1576593702.019606.jpg,1576593702.019606,3,29,0.0,0.0,"[0.0, 0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam2/1576593688.7166314.jpg,1576593688.7166314,1,24,0.0,0.0,[0.0]
/dataset/subset-3/2019-12-17_10/Cam3/1576594822.1497452.jpg,1576594822.1497452,3,31,0.0,0.0,"[0.0, 0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam3/1576596263.4767444.jpg,1576596263.4767444,1,0,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_5/RealSense/color/0/1576591689764,88.jpg","1576591689764,88",3,0,0.0,0.0,"[0.0, 0.0, 0.0]"
"/dataset/subset-3/2019-12-17_5/RealSense/color/0/1576591972580,44.jpg","1576591972580,44",1,64,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/Kinect/color/2600584,1493.jpg","2600584,1493",4,42,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/Kinect/color/3344874,9322.jpg","3344874,9322",2,60,0.0,0.0,"[0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam1/1576594095.1039414.jpg,1576594095.1039414,1,3,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593687792,97.jpg","1576593687792,97",1,12,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593697536,31.jpg","1576593697536,31",2,26,0.0,0.0,"[0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593686618,02.jpg","1576593686618,02",1,28,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596002181,53.jpg","1576596002181,53",1,28,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596164781,21.jpg","1576596164781,21",2,50,0.0,0.0,"[0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596132162,14.jpg","1576596132162,14",2,52,0.0,0.0,"[0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam1/1576591744.6001387.jpg,1576591744.6001387,1,1,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576593703581,85.jpg","1576593703581,85",3,17,0.0,0.0,"[0.0, 0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595269986,28.jpg","1576595269986,28",1,34,0.0,0.0,[0.0]
/dataset/subset-3/2019-12-17_10/Cam2/1576596128.965546.jpg,1576596128.965546,2,40,0.0,0.0,"[0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595252103,65.jpg","1576595252103,65",3,61,0.0,0.0,"[0.0, 0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595265019,07.jpg","1576595265019,07",1,51,0.0,0.0,[0.0]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595258064,58.jpg","1576595258064,58",3,123,0.0061,0.0,"[0.0, 0.0, 0.018]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595257071,12.jpg","1576595257071,12",2,129,0.0102,0.0,"[0.0, 0.02]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592674514,49.jpg","1576592674514,49",3,38,0.0138,0.0,"[0.036, 0.0, 0.006]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596164.465101.jpg,1576596164.465101,2,48,0.0151,0.0,"[0.03, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam2/1576592664.9465384.jpg,1576592664.9465384,3,33,0.0154,0.0,"[0.046, 0.0, 0.0]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576595428943,11.jpg","1576595428943,11",3,28,0.0222,0.0,"[0.067, 0.0, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam3/1576591696.7704532.jpg,1576591696.7704532,2,41,0.0223,0.0,"[0.024, 0.02]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596172.2105803.jpg,1576596172.2105803,2,54,0.0245,0.0,"[0.049, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam2/1576592949.6627812.jpg,1576592949.6627812,3,39,0.0282,0.0,"[0.018, 0.043, 0.023]"
/dataset/subset-3/2019-12-17_10/Cam3/1576592761.7877562.jpg,1576592761.7877562,2,16,0.0427,0.0,"[0.045, 0.04]"
/dataset/subset-3/2019-12-17_10/Cam1/1576591651.5540068.jpg,1576591651.5540068,3,17,0.0456,0.0,"[0.068, 0.069, 0.0]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596250.9407437.jpg,1576596250.9407437,1,53,0.0519,0.0,[0.052]
/dataset/subset-3/2019-12-17_10/Cam1/1576593978.8472974.jpg,1576593978.8472974,1,43,0.0546,0.0,[0.055]
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592766412,21.jpg","1576592766412,21",1,26,0.0571,0.0,[0.057]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596265951,11.jpg","1576596265951,11",3,17,0.0622,0.0,"[0.082, 0.098, 0.006]"
/dataset/subset-3/2019-12-17_10/Cam1/1576591645.991117.jpg,1576591645.991117,2,17,0.0657,0.0,"[0.08, 0.051]"
/dataset/subset-3/2019-12-17_10/Cam1/1576591686.0501428.jpg,1576591686.0501428,3,30,0.067,0.0,"[0.082, 0.113, 0.006]"
/dataset/subset-3/2019-12-17_10/Cam1/1576593703.8646357.jpg,1576593703.8646357,3,13,0.0792,0.0,"[0.0, 0.0, 0.238]"
