image_id,image_path,width,height,num_gt,gt_pallet_truck,gt_forklift,gt_pallet,real_tp,real_fp,real_fn,real_precision,real_recall,real_f1,real_mean_iou,real_num_preds,real_max_score,base_synth_tp,base_synth_fp,base_synth_fn,base_synth_precision,base_synth_recall,base_synth_f1,base_synth_mean_iou,base_synth_num_preds,base_synth_max_score,opt0_tp,opt0_fp,opt0_fn,opt0_precision,opt0_recall,opt0_f1,opt0_mean_iou,opt0_num_preds,opt0_max_score,opt0_beats_real,opt0_beats_base_synth,opt0_beats_both,opt0_f1_gain_vs_real,opt0_f1_gain_vs_base_synth,opt0_f1_gain_min
17646,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593696.0926828.jpg,1280,800,15,2,0,13,7,18,8,0.28,0.4667,0.35,0.7246,25,0.7601,10,11,5,0.4762,0.6667,0.5556,0.6771,21,0.741,10,12,5,0.4545,0.6667,0.5405,0.642,22,0.7995,True,False,False,0.1905,-0.0151,-0.0151
17647,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593703.8646357.jpg,1280,800,12,3,0,9,8,9,4,0.4706,0.6667,0.5517,0.6542,17,0.6889,5,10,7,0.3333,0.4167,0.3704,0.7065,15,0.7089,4,9,8,0.3077,0.3333,0.32,0.678,13,0.79,False,False,False,-0.2317,-0.0504,-0.2317
17648,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593704.9776354.jpg,1280,800,9,3,0,6,5,13,4,0.2778,0.5556,0.3704,0.6712,18,0.5467,3,8,6,0.2727,0.3333,0.3,0.6859,11,0.644,2,10,7,0.1667,0.2222,0.1905,0.6872,12,0.6558,False,False,False,-0.1799,-0.1095,-0.1799
17649,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593726.0632186.jpg,1280,800,2,0,0,2,2,0,0,1.0,1.0,1.0,0.7796,2,0.7898,2,0,0,1.0,1.0,1.0,0.7477,2,0.8078,2,0,0,1.0,1.0,1.0,0.686,2,0.8171,False,False,False,0.0,0.0,0.0
17650,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593728.2913082.jpg,1280,800,3,0,0,3,3,1,0,0.75,1.0,0.8571,0.7583,4,0.8177,3,1,0,0.75,1.0,0.8571,0.8343,4,0.8388,3,0,0,1.0,1.0,1.0,0.8569,3,0.8355,True,True,True,0.1429,0.1429,0.1429
17651,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593753.8233488.jpg,1280,800,17,0,0,17,14,10,3,0.5833,0.8235,0.6829,0.6732,24,0.8563,14,12,3,0.5385,0.8235,0.6512,0.6996,26,0.8363,13,9,4,0.5909,0.7647,0.6667,0.7007,22,0.8446,False,True,False,-0.0162,0.0155,-0.0162
17652,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593756.048234.jpg,1280,800,18,0,0,18,13,7,5,0.65,0.7222,0.6842,0.7489,20,0.8282,15,10,3,0.6,0.8333,0.6977,0.7515,25,0.8105,13,9,5,0.5909,0.7222,0.65,0.749,22,0.8283,False,False,False,-0.0342,-0.0477,-0.0477
17653,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593770.4448853.jpg,1280,800,13,0,0,13,6,8,7,0.4286,0.4615,0.4444,0.7315,14,0.6973,5,12,8,0.2941,0.3846,0.3333,0.5976,17,0.7574,6,7,7,0.4615,0.4615,0.4615,0.7018,13,0.7771,True,True,True,0.0171,0.1282,0.0171
17654,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593781.53055.jpg,1280,800,13,0,0,13,8,10,5,0.4444,0.6154,0.5161,0.7911,18,0.7989,7,11,6,0.3889,0.5385,0.4516,0.7943,18,0.8374,7,10,6,0.4118,0.5385,0.4667,0.7572,17,0.8617,False,True,False,-0.0494,0.0151,-0.0494
17655,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593784.85157.jpg,1280,800,16,0,0,16,11,6,5,0.6471,0.6875,0.6667,0.6493,17,0.8644,10,3,6,0.7692,0.625,0.6897,0.6435,13,0.8726,11,7,5,0.6111,0.6875,0.6471,0.625,18,0.9125,False,False,False,-0.0196,-0.0426,-0.0426
17656,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593791.5088654.jpg,1280,800,13,0,0,13,10,7,3,0.5882,0.7692,0.6667,0.6674,17,0.7038,10,2,3,0.8333,0.7692,0.8,0.6665,12,0.7283,10,5,3,0.6667,0.7692,0.7143,0.6502,15,0.8556,True,False,False,0.0476,-0.0857,-0.0857
17657,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593800.380983.jpg,1280,800,9,0,0,9,5,5,4,0.5,0.5556,0.5263,0.7417,10,0.7222,6,5,3,0.5455,0.6667,0.6,0.7455,11,0.7243,7,4,2,0.6364,0.7778,0.7,0.7107,11,0.7626,True,True,True,0.1737,0.1,0.1
17658,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593846.8169043.jpg,1280,800,13,0,0,13,10,5,3,0.6667,0.7692,0.7143,0.769,15,0.814,8,4,5,0.6667,0.6154,0.64,0.7732,12,0.7698,9,4,4,0.6923,0.6923,0.6923,0.7766,13,0.9012,False,True,False,-0.022,0.0523,-0.022
17659,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593864.5489986.jpg,1280,800,13,0,0,13,8,8,5,0.5,0.6154,0.5517,0.7033,16,0.8424,9,6,4,0.6,0.6923,0.6429,0.7107,15,0.8531,8,8,5,0.5,0.6154,0.5517,0.697,16,0.848,False,False,False,0.0,-0.0912,-0.0912
17660,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593865.6489177.jpg,1280,800,10,0,0,10,8,6,2,0.5714,0.8,0.6667,0.7001,14,0.8755,8,6,2,0.5714,0.8,0.6667,0.7378,14,0.8635,8,4,2,0.6667,0.8,0.7273,0.7309,12,0.8487,True,True,True,0.0606,0.0606,0.0606
17661,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593890.029121.jpg,1280,800,12,0,0,12,8,7,4,0.5333,0.6667,0.5926,0.697,15,0.8195,9,3,3,0.75,0.75,0.75,0.7339,12,0.8688,9,5,3,0.6429,0.75,0.6923,0.7012,14,0.7871,True,False,False,0.0997,-0.0577,-0.0577
17662,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593891.1343427.jpg,1280,800,10,0,0,10,8,7,2,0.5333,0.8,0.64,0.6654,15,0.9046,8,2,2,0.8,0.8,0.8,0.6516,10,0.9105,8,4,2,0.6667,0.8,0.7273,0.654,12,0.8831,True,False,False,0.0873,-0.0727,-0.0727
17663,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593898.911257.jpg,1280,800,6,0,0,6,5,2,1,0.7143,0.8333,0.7692,0.7245,7,0.8353,6,0,0,1.0,1.0,1.0,0.6998,6,0.8003,5,2,1,0.7143,0.8333,0.7692,0.7046,7,0.8323,False,False,False,0.0,-0.2308,-0.2308
17664,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593907.7875667.jpg,1280,800,5,0,0,5,3,3,2,0.5,0.6,0.5455,0.7805,6,0.9062,3,3,2,0.5,0.6,0.5455,0.8297,6,0.9072,3,1,2,0.75,0.6,0.6667,0.8096,4,0.8969,True,True,True,0.1212,0.1212,0.1212
17665,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593912.2405713.jpg,1280,800,2,0,0,2,1,2,1,0.3333,0.5,0.4,0.6716,3,0.7668,1,2,1,0.3333,0.5,0.4,0.626,3,0.7723,1,2,1,0.3333,0.5,0.4,0.6176,3,0.7572,False,False,False,0.0,0.0,0.0
17669,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593932.2283812.jpg,1280,800,1,0,0,1,1,0,0,1.0,1.0,1.0,0.8313,1,0.5953,1,0,0,1.0,1.0,1.0,0.796,1,0.6852,1,0,0,1.0,1.0,1.0,0.7655,1,0.8245,False,False,False,0.0,0.0,0.0
17670,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593937.7621472.jpg,1280,800,13,0,1,12,7,60,6,0.1045,0.5385,0.175,0.643,67,0.7108,8,55,5,0.127,0.6154,0.2105,0.6412,63,0.7548,8,54,5,0.129,0.6154,0.2133,0.6331,62,0.749,True,True,True,0.0383,0.0028,0.0028
17671,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593947.7703981.jpg,1280,800,70,0,1,69,44,33,26,0.5714,0.6286,0.5986,0.6729,77,0.792,47,24,23,0.662,0.6714,0.6667,0.6743,71,0.8315,46,22,24,0.6765,0.6571,0.6667,0.6723,68,0.8183,True,False,False,0.0681,0.0,0.0
17672,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593959.9938636.jpg,1280,800,64,0,0,64,37,34,27,0.5211,0.5781,0.5481,0.5848,71,0.7314,38,28,26,0.5758,0.5938,0.5846,0.5899,66,0.7371,44,21,20,0.6769,0.6875,0.6822,0.6162,65,0.7317,True,True,True,0.1341,0.0976,0.0976
17673,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593967.768336.jpg,1280,800,83,2,0,81,51,12,32,0.8095,0.6145,0.6986,0.6944,63,0.7242,58,6,25,0.9062,0.6988,0.7891,0.6978,64,0.7261,56,8,27,0.875,0.6747,0.7619,0.6979,64,0.7218,True,False,False,0.0633,-0.0272,-0.0272
