distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_1048,simulation_1,128,0.6255129513499847,57,116207,471784,0.43705788656343575,3,34,6,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_tile_hexagonal_various.jpg,0.8958917701001594,nv_plastic_blue.jpg,nv_concrete_aged_with_lines.jpg,nv_tile_hexagonal_various.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,,,,,warehouse,1,2.0368889358976627,100,0.8678818289731782,4,1.2322288830186747
dist_1049,simulation_1,128,1.0789396097775577,49,120167,498417,0.3030628465830074,3,34,6,31,2,360,nv_animalfur_pattern_greys.jpg,nv_bamboo_desktop.jpg,nv_brick_reclaimed.jpg,0.6613180519276741,,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_wood_shingles_brown.jpg,nv_brick_red_stacked.jpg,,,,nv_brick_red_stacked.jpg,warehouse,1,2.516038612448779,88,0.484621817432805,4,1.3449869804483745
dist_1050,simulation_1,128,0.6087237690663337,77,95997,451805,0.18920947125650434,1,34,4,31,2,360,nv_animalfur_pattern_greys.jpg,nv_artificialgrass_green.jpg,nv_fireplace_wall.jpg,0.7975652312443751,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_stone_painted_grey.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_reclaimed.jpg,,,nv_brick_reclaimed.jpg,warehouse,1,4.2299102159736774,100,0.2934669856027129,3,2.0
dist_1051,simulation_1,128,0.43026328963872285,49,99387,508780,0.054050228764631565,1,34,6,31,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_fireplace_wall.jpg,0.8799824840176469,nv_plastic_blue.jpg,nv_tile_hexagonal_green_white.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,,,nv_brick_reclaimed.jpg,additional,1,3.637403809755099,96,0.4369327193532696,3,1.8075888781060723
dist_1052,simulation_1,128,0.746834040404798,47,98235,378526,0.3228696044105718,3,34,3,31,2,360,nv_animalfur_pattern_greys.jpg,nv_tile_hexagonal_various.jpg,nv_tile_hexagonal_green_white.jpg,0.6258788503751463,,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,nv_wood_siding_weathered_green.jpg,nv_wood_siding_weathered_green.jpg,,nv_plastic_blue.jpg,nv_brick_red_stacked.jpg,warehouse,1,1.4337474066766456,85,0.981163830429474,6,1.7370598967288289
dist_1053,simulation_1,128,0.37485668077128687,83,109705,443007,0.11442584794899999,0,34,5,31,2,360,nv_animalfur_pattern_greys.jpg,nv_gravel_grey_leaves.jpg,nv_bamboo_desktop.jpg,0.8299324544247996,,nv_tile_square_green.jpg,nv_wood_siding_weathered_green.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_reclaimed.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,,,additional,1,3.693864067729563,91,0.6437947335808775,6,1.8361137446604192
dist_1054,simulation_1,128,0.7459122596304872,78,91370,435874,0.07334203961377138,0,34,5,31,2,360,nv_marble.jpg,nv_tile_hexagonal_various.jpg,nv_tile_hexagonal_various.jpg,0.9664043564584235,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_brick_reclaimed.jpg,nv_carpet_abstract_pattern.jpg,nv_gravel_grey_leaves.jpg,,,nv_brick_reclaimed.jpg,None,1,5.0,95,0.2802425797957736,1,2.0
dist_1055,simulation_1,128,1.5379947550084656,84,95674,475594,0.09927508186817578,3,34,0,31,2,360,nv_animalfur_pattern_greys.jpg,nv_rubber_woven_charcoal.jpg,nv_tile_hexagonal_various.jpg,0.1901917186794152,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_fabric_square_grid.jpg,nv_brick_reclaimed.jpg,nv_brick_reclaimed.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,additional,1,3.1752777616852286,100,1.0,6,0.24365858884333041
dist_1056,simulation_1,128,0.7965055202145075,65,108043,493670,0.15129827859045666,3,34,6,31,2,360,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,nv_tile_hexagonal_green_white.jpg,0.7349912329919142,nv_brick_reclaimed.jpg,nv_tile_square_green.jpg,nv_rubber_woven_charcoal.jpg,nv_stucco_red_painted.jpg,,nv_wood_siding_weathered_green.jpg,,nv_plastic_blue.jpg,nv_brick_red_stacked.jpg,None,1,4.2003595897046,91,0.5375638494162907,4,2.0
dist_1057,simulation_1,128,0.48464833586948064,68,88235,467519,0.16329602019876976,1,34,6,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,nv_tile_square_green.jpg,0.48288970687555055,,nv_stone_red_hatch.jpg,nv_rubber_woven_charcoal.jpg,,nv_wooden_wall.jpg,nv_asphalt_yellow_weathered.jpg,,,nv_brick_red_stacked.jpg,None,1,5.0,90,0.2126034198733526,3,0.8521031631720946
dist_1058,simulation_1,128,1.0217532212121594,51,98763,461172,0.18265712357132094,1,34,3,31,2,360,nv_marble.jpg,nv_bamboo_desktop.jpg,nv_tile_hexagonal_green_white.jpg,0.6622314970979614,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_stucco_smooth_blue.jpg,nv_plastic_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_wood_siding_weathered_green.jpg,,,nv_brick_reclaimed.jpg,warehouse,1,4.921133447291251,79,0.4781364433127858,2,1.388259488064381
dist_1059,simulation_1,128,1.4569239691960805,75,93211,506186,0.09469287974324445,3,34,3,31,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,0.04503972727066926,nv_brick_red_stacked.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_asphalt_yellow_weathered.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,nv_wood_siding_weathered_green.jpg,warehouse,1,2.4789626639998907,100,0.9504293275237459,6,0.30376508668684377
